id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,ocean,,,,,,,
579530,63f90c83-d841-4269-9c78-ba72bbe849b5,13-03-11,13-03-11,,Eastern Time (US & Canada),19061,seasav,,2014-03-23 17:38:58 UTC,2018-06-15 02:14:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/579530,https://inaturalist-open-data.s3.amazonaws.com/photos/737163/medium.jpg,,,Zebra,1,0,FALSE,,"Fontao Wreck, Umhlanga, South Africa",-29.750667,31.101093,1794,,,,1794,,open,FALSE,,manual,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,,,,,
647725,ac23bc0e-084f-4c0c-840d-313266c40e49,02-01-09,02-01-09,,Eastern Time (US & Canada),19061,seasav,,2014-04-29 01:02:08 UTC,2018-01-02 06:20:51 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/647725,https://inaturalist-open-data.s3.amazonaws.com/photos/816865/medium.jpg,,,Aka Zebra Seabream. D. Hottentotus is considered an endemic South African species by Heemstra & Heemstra (2004). ,2,1,FALSE,,"Aliwal Shoal Marine Protected Area, South Africa",-30.247627,30.82628,2732,,,,2732,,open,FALSE,,manual,Diplodus hottentotus,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,,,,,
890340,1b5ddc8f-a827-4adc-9cd6-68cd9328d6b5,16-09-14,16-09-14,,Eastern Time (US & Canada),19061,seasav,,2014-09-22 23:02:08 UTC,2018-04-16 12:08:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/890340,https://inaturalist-open-data.s3.amazonaws.com/photos/1131256/medium.JPG,,,,1,0,FALSE,,"T Barge Wreck, Durban, South Africa",-29.78345,31.095085,3388,,,,3388,,open,FALSE,,manual,Diplodus hottentotus,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,,,,,
1838887,0fd61396-b36f-4904-a176-59e873e0e063,02-07-15,02-07-15,,Eastern Time (US & Canada),19061,seasav,,2015-08-06 22:30:21 UTC,2017-11-08 00:56:55 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1838887,https://inaturalist-open-data.s3.amazonaws.com/photos/2233877/medium.jpg,,,,1,0,FALSE,3,"Aliwal Shoal Marine Protected Area, South Africa",-30.247627,30.82628,2732,,,,2732,,open,FALSE,,manual,Diplodus hottentotus,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,,,,,
8339338,93d1f704-5249-4484-ba2b-45a1b278830a,2017/07/25 10:32 AM CEST,25-07-17,2017-07-25 08:32:00 UTC,Paris,173306,zanskar,David Renoult,2017-10-10 11:08:45 UTC,2018-05-25 23:53:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8339338,https://inaturalist-open-data.s3.amazonaws.com/photos/11082367/medium.jpeg,,,,2,0,FALSE,,"St. Lucia, Durban, 3936, Afrique du Sud",-28.12619167,32.56124496,31,,,,31,,open,FALSE,,,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,Ocean,min_Y,min_X,max_Y,max_X
10448096,f6ccd0f6-d2f5-4f56-b08f-8440560d12dc,2018/03/24 12:45 PM CAT,24-03-18,2018-03-24 11:45:00 UTC,West Central Africa,738093,caperadd,Cape RADD,2018-03-27 12:49:20 UTC,2018-05-25 23:53:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10448096,https://inaturalist-open-data.s3.amazonaws.com/photos/14522625/medium.jpg,,,C:\DCIM\106GOPRO\GOPR0697.GPR,3,0,FALSE,,Windmill Beach,-34.20099188,18.4572733,83,,,,83,,open,FALSE,,,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,South Atlantic Ocean,,,Southern Ocean,-85.5625,-180,-60,180
10493056,ada1b3cb-79de-4b38-bc4d-31a4c50f3393,Mon Jan 05 2015 00:00:43 GMT+0200 (GMT+2),05-01-15,2015-01-04 22:00:43 UTC,Africa/Johannesburg,19061,seasav,,2018-03-29 18:41:16 UTC,2018-06-18 07:16:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10493056,https://inaturalist-open-data.s3.amazonaws.com/photos/14592375/medium.jpg,,,"Birthday Ledges, Blood Reef ",2,0,FALSE,3,"Blood Reef, Durban, South Africa",-29.896665,31.056806,1394,,,,1394,,open,FALSE,,manual,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,South Atlantic Ocean,-60,-69.60084,0.07511,20
10493082,db6b38ff-7c04-429c-97ac-4fa7ca2ae331,Mon Jan 05 2015 00:00:48 GMT+0200 (GMT+2),05-01-15,2015-01-04 22:00:48 UTC,Africa/Johannesburg,19061,seasav,,2018-03-29 18:42:52 UTC,2018-05-25 23:52:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10493082,https://inaturalist-open-data.s3.amazonaws.com/photos/14592413/medium.jpg,,,"Coopers Wreck, mean depth 27m",2,0,FALSE,3,"Coopers Wreck, Durban, South Africa",-29.964899,31.006594,1827,,,,1827,,open,FALSE,,manual,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,South Pacific Ocean,-60,130.11129,3.39114,-67.26667
10674829,0966c28a-50c5-4522-8011-8ea73a702f6f,Mon Jan 05 2015 00:00:25 GMT+0300 (GMT+3),05-01-15,2015-01-04 21:00:25 UTC,Baghdad,19061,seasav,,2018-04-07 09:07:30 UTC,2018-06-18 07:16:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10674829,https://inaturalist-open-data.s3.amazonaws.com/photos/14902980/medium.jpg,,,Blood Reef ,1,0,FALSE,3,"Blood Reef, Durban, South Africa",-29.896665,31.056806,1394,,,,1394,,open,FALSE,,manual,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,North Pacific Ocean,0,117.51622,66.56286,-76.98544
10677920,dd26f22c-98d8-4752-9aa8-43a7201feea3,Mon Jan 05 2015 00:00:49 GMT+0300 (GMT+3),05-01-15,2015-01-04 21:00:49 UTC,Baghdad,19061,seasav,,2018-04-07 14:04:06 UTC,2018-05-25 23:52:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10677920,https://inaturalist-open-data.s3.amazonaws.com/photos/14907835/medium.jpg,,,Coopers Wreck ,1,0,FALSE,3,"Coopers Wreck, Durban, South Africa",-29.964899,31.006594,1827,,,,1827,,open,FALSE,,manual,Zebra Fish,Diplodus hottentotus,Zebra,Actinopterygii,445869,Indian Ocean,,,South China and Easter Archipelagic Seas,-10.92259,95.43328,25.56728,134.03155
