id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
351010,64044379-f7a9-4b56-b6f5-98794e5aff03,2012-08-22,2012-08-22,,Paris,2479,naturalist,"",2013-07-30 04:08:33 UTC,2022-11-20 11:22:20 UTC,research,,http://www.inaturalist.org/observations/351010,https://static.inaturalist.org/photos/437505/medium.jpg,,"",No other specimen were observed,3,0,false,,"Bizerte, TN",37.3405667841,9.7175243137,,,,,28417,obscured,open,true,,,Diplodus cervinus,Diplodus cervinus,Zebra,Actinopterygii,49984
1303887,27b0e77f-749f-40b6-87f9-16576f1760c1,2014-11-01,2014-11-01,,Madrid,83815,josep,"",2015-03-19 18:44:44 UTC,2022-11-20 11:32:22 UTC,research,,http://www.inaturalist.org/observations/1303887,https://static.inaturalist.org/photos/1636392/medium.JPG,,"","",3,0,false,,Isla de Tarifa,36.002863,-5.609458,432,,,,432,,open,false,,,Sargo breado,Diplodus cervinus,Zebra,Actinopterygii,49984
2308699,5bf579e6-785a-4d31-ad26-5572f54260ad,2014-10-05,2014-10-05,,Madrid,145644,whodden,"",2015-10-25 14:56:18 UTC,2022-11-20 11:32:23 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2308699,https://inaturalist-open-data.s3.amazonaws.com/photos/2566352/medium.jpg,,"","",2,0,false,,isla de tarifa,36.006005,-5.610017,26,,,,26,,open,false,,,Zebra,Diplodus cervinus,Zebra,Actinopterygii,49984
2329089,3f2b5167-20d1-4a42-a1c5-f07e7ae75ad4,2013-10-30,2013-10-30,,Madrid,145644,whodden,"",2015-10-29 11:12:44 UTC,2022-11-20 11:32:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2329089,https://inaturalist-open-data.s3.amazonaws.com/photos/2582970/medium.jpg,,"","",4,0,false,,isla de tarifa,36.005281,-5.60689,546,,,,546,,open,false,,,Sargo breado,Diplodus cervinus,Zebra,Actinopterygii,49984
2329157,d95e5f73-75f9-4c5e-b7bf-f42c1d4ec32e,2013-09-07,2013-09-07,,Madrid,145644,whodden,"",2015-10-29 12:14:21 UTC,2022-11-20 11:32:18 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2329157,https://inaturalist-open-data.s3.amazonaws.com/photos/2583047/medium.jpg,,"","",3,0,false,,isla de tarifa,36.003441,-5.60557,26,,,,26,,open,false,,,Sargo breado,Diplodus cervinus,Zebra,Actinopterygii,49984
2331940,dd3e12be-4f22-4778-99f6-943601509ebe,2013-10-20,2013-10-20,,Madrid,145644,whodden,"",2015-10-30 07:52:15 UTC,2022-11-20 11:32:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2331940,https://inaturalist-open-data.s3.amazonaws.com/photos/2586978/medium.jpg,,"","",2,0,false,,isla de tarifa,36.006097,-5.609905,546,,,,546,,open,false,,,Zebra,Diplodus cervinus,Zebra,Actinopterygii,49984
2339999,38cbd59f-1c16-49a5-bf80-bff5b1d55587,2012-03-17,2012-03-17,,Madrid,145644,whodden,"",2015-11-01 21:47:04 UTC,2022-11-20 11:32:16 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2339999,https://inaturalist-open-data.s3.amazonaws.com/photos/2596848/medium.JPG,,"","",2,0,false,,isla de tarifa,36.003626,-5.604996,546,,,,546,,open,false,,,Horned Bream,Diplodus cervinus,Zebra,Actinopterygii,49984
2382674,2c3aa8b9-1965-4cb3-b8f0-0453eb43a90b,2010-09-23,2010-09-23,,Madrid,145644,whodden,"",2015-11-15 12:37:27 UTC,2024-11-15 22:36:24 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2382674,https://inaturalist-open-data.s3.amazonaws.com/photos/2655744/medium.jpg,,"","",1,0,false,,garachico tenerife,28.373001,-16.768709,654,,,,654,,open,false,,,Sargo breado,Diplodus cervinus,Zebra,Actinopterygii,49984
2684016,c34e192f-7651-4479-9c31-794faca61d6b,2011-09-10,2011-09-10,,Amsterdam,175009,jujurenoult,Julien Renoult,2016-02-15 12:24:32 UTC,2022-05-02 10:07:41 UTC,research,CC0,http://www.inaturalist.org/observations/2684016,https://inaturalist-open-data.s3.amazonaws.com/photos/3017383/medium.JPG,,"","",2,0,false,,Iles Medes,42.046813,3.223923,789,,,,789,,open,false,,,Zebra,Diplodus cervinus,Zebra,Actinopterygii,49984
2693665,3f5995e9-b719-4e20-87bf-03fa541630e6,2010-07-20,2010-07-20,,UTC,149160,ronald63,Ronald Werson,2016-02-18 08:19:01 UTC,2022-05-02 10:12:01 UTC,research,,http://www.inaturalist.org/observations/2693665,https://inaturalist-open-data.s3.amazonaws.com/photos/3031364/medium.jpg,,"","",3,0,false,,isole medas,42.05,3.220833,,,,,,,open,false,,,Zebra,Diplodus cervinus,Zebra,Actinopterygii,49984
